win_id,day,win_idx,t_start,t_end,n_events,happiness,sadness,anger,fear,disgust,surprise
d1_w0,1,0,40196,40247,8,-0.03677831217646599,0.6618422269821167,-0.39272570610046387,0.1808629333972931,-0.4941713213920593,0.07773120701313019
d1_w1,1,1,40220,40269,8,-0.5728390216827393,0.7908027768135071,-0.3339650630950928,-0.11228034645318985,0.07668615877628326,0.34475260972976685
d1_w2,1,2,40253,40294,8,-0.30084890127182007,0.6145724058151245,-0.4571293294429779,0.3358926773071289,-0.4675038754940033,0.3193032741546631
d1_w3,1,3,40268,40330,8,-0.5481356382369995,0.8847051858901978,-0.7142412066459656,0.8692094683647156,-0.21118763089179993,-0.1953549087047577
d1_w4,1,4,40298,40386,8,-0.5677851438522339,1.2582579851150513,-0.6724861860275269,0.7158913612365723,-0.35921165347099304,-0.27329298853874207
d1_w5,1,5,40329,40433,8,0.7214522361755371,0.23714537918567657,-0.9528077244758606,-0.35702913999557495,0.38122838735580444,0.10193941742181778
d1_w6,1,6,40384,40518,8,-0.2970312237739563,1.116459846496582,-0.5597201585769653,0.07790588587522507,0.22065410017967224,-0.4014209806919098
d1_w7,1,7,40442,40575,8,0.035243891179561615,0.5583633184432983,-0.3879566788673401,0.16821910440921783,-0.2718552052974701,-0.0632028803229332
d1_w8,1,8,40515,40610,8,0.12701073288917542,0.7348882555961609,-0.7157924771308899,0.280184805393219,-0.5748116970062256,0.15433916449546814
d1_w9,1,9,40590,40644,8,-0.1462581604719162,0.31423142552375793,-0.24711501598358154,0.11950037628412247,-0.004190397448837757,-0.0014887333381921053
d1_w10,1,10,40614,40680,8,-0.06796485185623169,0.392644464969635,-0.013185200281441212,-0.2705644369125366,0.3216392397880554,-0.2544543743133545
d1_w11,1,11,40645,40719,8,0.7728171944618225,0.26894545555114746,-0.9614471197128296,-0.41856902837753296,0.3895013928413391,0.08487369865179062
d1_w12,1,12,40680,40804,8,0.7169947624206543,0.8216273188591003,-0.8579042553901672,-0.3649843633174896,-0.15626052021980286,-0.08998340368270874
d1_w13,1,13,40718,40898,8,-0.5092760920524597,1.0839248895645142,-0.5126124024391174,0.2973614037036896,-0.049102235585451126,-0.18091636896133423
d1_w14,1,14,40809,40999,8,-0.08204178512096405,0.9409942626953125,-0.7671272158622742,0.21528348326683044,-0.21606115996837616,-0.002462196396663785
d1_w15,1,15,40937,41079,8,-0.4978460371494293,0.41411155462265015,-0.06691233813762665,0.060199785977602005,-0.06329388171434402,0.24227240681648254
